county,longitude,latitude
Fresno,-119.65339860455649,36.7585544732413
Kern,-118.7290463828233,35.34356120599614
Kings,-117.08910375060812,36.87885951746482
Madera,-119.76472595272377,37.21782981756664
Merced,-120.7184278272743,37.1916875526247
San Joaquin,-121.27165781915728,37.93443616911417
Stanislaus,-120.99848914727369,37.55894325799268
Tulare,-118.80036170308689,36.22004992919222
